apple	リンゴ
banana	バナナ
pineapple	パイナップル
beef	牛肉
chicken	鶏肉
pork	豚肉
tuna	鮪
mackerel	鯖
sweetfish	鮎
herring	鰊
sesame	ごま
lemon	レモン
orange	ミカン
garlic	ニンニク
lettuce	レタス
cabbage	キャベツ
potato	ジャガイモ
papaya	パパイヤ
grapes	葡萄
cucumber	キュウリ
tomato	トマト
strawberry	イチゴ
coffee	コーヒー
black tea	紅茶
cheese	チーズ
bread	パン
rice	米
pasta	パスタ
radish	ダイコン
corn	トウモロコシ
squirrel	リス
bear	クマ
duck	アヒル
dog	犬
cat	猫
wolf	狼
cow	牛
pig	豚
bird	鳥
crow	カラス
mountain	山
river	川
valley	谷
hill	丘
sky	空
space	宇宙
ocean	海
ground	地面
underground	地下
christmas	クリスマス
time	時間
spring	春
summer	夏
autumn	秋
winter	冬
hot	暑い
cold	寒い
eat	食べる
escape	逃げる
sleep	寝る
swim	泳ぐ
laugh	笑う
speak	話す
dance	踊る
get angry	怒る
gorilla	ゴリラ
rhinoceros	サイ
elephant	ゾウ
monkey	サル
water	水
fire	火
woods	森
electrical	電気
ice	氷
wood	木
insect	昆虫
human	人間
man	男
woman	女
children	子供
grown up	大人
darkness	闇
light	光
road	道
grass	草
enemy	敵
meeting	会議
homework	宿題
pencil	鉛筆
eraser	消しゴム
ruler	定規
note	ノート
paper	紙
hair	髪
god	神
buddha	仏
mushroom	キノコ
medicine	薬
wallet	財布
book	本
clock	時計
money	お金
sugar	砂糖
salt	塩
friend	友達
glass	ガラス
wall	壁
floor	床
ceiling	天井
ship	船
car	車
bicycle	自転車
air	空気
weather	天気
airplane	飛行機
snow	雪
rain	雨
sunny	晴れ
cloudy	曇り
thunder	雷
cloud	雲
volcano	火山
continent	大陸
australia	オーストラリア
germany	ドイツ
japan	日本
america	アメリカ
china	中国
italy	イタリア
england	イギリス
france	フランス
baseball	野球
swimming	水泳
golf	ゴルフ
tennis	テニス
football	サッカー
box	箱
lid	蓋
scissors	ハサミ
seaweed	海苔
moss	苔
cutter	カッター
armor	鎧
leg	足
head	頭
breast	胸
hand	手
face	顔
mouth	口
eye	目
ear	耳
nose	鼻
flower	花
bee	蜂
village	村
town	町
age	年齢
city	都市
birthday	誕生日
street address	住所
name	名前
height	身長
body weight	体重
hobby	趣味
qualification	資格
marriage	結婚
retirement	退職
change of job	転職
birth	出産
graduate	卒業
admission	入学
course	進路
history	歴史
strong	強い
weak	弱い
usually	普通
sweet	甘い
spicy	辛い
push	押す
